مرأ , مرأني
عوج , وعاج
وشح , توشحت
بثث , وانبث
حوذ , والحاذ
ثجج , ثجاج
هدد , كالهدادة
رجج , كرجراجة
عدد , عدة
مدد , يمده
ميد , والمائدة
ثجج , مثج
جود , جياد
جود , جيادات
عوذ , عائذا
قذذ , كالقذذ
رحح , كروحاء
روح , وروحه
أسد , مأسدة
صحح , يصح
لوث , لثت
ذود , وذادة
ميد , ماد
ورد , وردته
وكد , كأكده
لوذ , لوذا
هبب , فاهتبه
وقب , ووقبه
ييعث , فأجت
جوح , يجوح
لوح , وألاح
هيج , هيوج
قود , قادة
يزدذ , تأجرني
زيد , فزادهم
حدد , حدود
عوذ , ومعوذ
يوج , ياج
قدد , أقد
قدد , فقده
زجج , يزج
سدد , مسددا
ييعث , وأجيج
نهند , نيهاوند
قود , واقتاده
كدد , وكدكدني
بصد , وبصيدا
هيب , وهياب
عوج , معوجة
لوح , واللوحان
ولد , وليدة
كبب , كأكبه
وطد , والمتواطد
هيج , هياجا
وثب , وثبا
صدح , وصدح
أبد , والأبود
قيد , والأقياد
أود , ينآد
حثث , التحاث
ميد , فمادت
طوح , الطائح
وتد , أوتادها
أجر , مأجور
ولج , أولجه
ندد , ندادء
فأد , والمفتأد
قذذ , قذذت
وقب , كالوقوب
وطد , ووطد
سيح , السائح
رجج , الارتجاج
فدد , كالفدفد
أود , انئيادا
ذود , يذاد
بدد , وبدد
هجج , كالإهجيج
هدد , الهادة
فأد , المفأد
وصب , ووصاب
لبب , ألباب
وصد , والموصد
دحح , والدودح
وجب , بوجبة
وفد , ووافد
قبب , القب
ميث , والميث
شيح , أشاحت
شجج , شجاج
غيب , ومغيبا
بثث , ومنبث
نوح , نياحة
يدح , وأخا
نوح , المناحات
فدد , والفدين
أجر , إيجارا
غدد , والغداد
وقد , اتقادها
وقد , والاستيقاد
دعد , دعود
دجج , الديجوج
نهند , تؤدة
ودد , الوداد
قبب , وقبة
قيد , تقييدا
شيخ , شيوخ
وصب , وأوصب
أخر , الآخران
طوح , طوحه
لوب , اللوبياء
هدد , وهديده
نيب , أنيب
جود , وجاد
سود , والسيد
عود , يعوده
كيد , تكيده
وهب , اوتهب
يكد , وخذ
لوب , يلوب
حوذ , وحاذ
بوج , وبوجانا
هجج , بهجهج
هود , اليهودي
حثث , والحثحوث
سيح , يسيح
ورث , وارثه
شيح , والشيحة
قيد , وقيود
وكد , ووكد
أبر , تأبره
أثر , الأثر
خدد , والمتخدد
أخر , المؤخران
ييعث , ائتج
سحح , وسحوحا
توج , بتوجا
هيج , وهاجه
حوج , تحوجا
يكد , يأخذه
ييعث , فتأججت
ميث , والأمياث
مجج , مجمج
سود , ساد
قبب , والقب
غدد , مغاد
صوح , والتصويح
أدد , وأدد
هود , تهويدا
لبب , ولبا
وثب , الوثابة
بوج , والبائجة
هيج , الهياج
جدد , وجد
هدد , بهدين
يزدذ , وآجرته
شعذ , الشعوذة
بجج , فبججته
فجج , فج
صدد , وصدصد
بوح , البوح
جثث , المجتث
بوح , استباحه
أدد , وإدا
لوب , لابة
لذذ , ولذ
غبب , وغبيبا
هيب , وهيوب
بدد , بداد
يوج , أزوحا
ورد , وراد
يزدذ , أجرت
أبر , مأبورة
فدد , وفدفد
هيج , والهائج
شدد , تشد
وقد , الوقد
فأد , وأفؤود
توج , وتاجت
ميد , وميدانا
ودد , والمودودة
جثث , وتجثجث
شجج , شجا
أثر , وأثر
هبب , فهب
عدد , وعددت
فدد , وفد
هيد , وهيدته
خدد , وخدد
نهد , تنهيدا
غدد , والغدد
خدد , خد
وضح , وتوضح
وقد , استيقادا
ندد , ناد
فود , ويفيد
وجب , أوجب
يكد , تأخذه
هيج , وهايجه
كود , كيد
ميث , ميثا
حوج , وأحوجت
وتد , ووتدها
بوح , وبيحان
هجج , وهج
عدد , يعده
لبب , لبب
كيد , المكيدة
مدد , مددناه
صوح , الصوح
بحح , وتبحبح
سود , وسيد
وصد , وأوصد
أجر , يؤجره
بحح , وبحوحا
بدد , أبد
غدد , أغدا
سيح , المسيح
ردد , ورديدي
ينشت , أثاثا
لجج , واللجلجة
حوج , حوائجه
سهرد , السهرورديان
فوح , تفيح
ورث , الورثة
قبب , وقبيبا
بثث , بث
ميد , الممتاد
وطد , يطدون
وصد , والوصد
صلج , والصولجانة
يكد , والمؤاخذة
قذذ , وأقذذته
شدد , وشد
قدد , وقدود
شدد , فشدوا
غبب , كغب
قبب , الاقتباب
جذذ , كالجذيذة
ييعث , وائتجت
ثجج , والثجة
زيد , والزيادة
كيد , كيدا
قيد , بالقيود
يدح , الأرخة
وثب , ثبة
وثب , بالوثيب
نهند , اتئد
حجج , والمحجاج
ولج , أولجته
وكد , وكاد
ثجج , مثجوج
لبب , كلب
صيد , صائد
وثب , الوثاب
وقب , وقبت
رجج , والرجراج
غيب , التغيب
وثب , توثب
لوب , والنوبة
زيد , يزاد
عوذ , عياذا
لوذ , ولواذا
رود , رواد
بجج , وبجا
أبد , ومأبد
بدد , بدائد
كبب , كبته
صدد , صدده
سيح , مسيح
ميد , يميدهم
شدد , شدات
لبب , لب
وجب , وجوب
رود , يرودهم
توج , وأتواج
حدد , حددت
كدد , كده
كيد , يكيد
أبد , والأبيد
جثث , اجتثثت
لذذ , اللذ
زيد , والمزاد
سحح , والسحوح
فوج , الفيوج
وثب , والوثاب
حجج , حججتها
دحرج , يدحرجه
بدد , والبداد
هبب , هبوبا
صدد , صادة
هدد , هدون
زيد , الزيادة
حوج , تحوج
رود , والإرادة
بجج , البج
صوح , والمنصاح
أسد , آساد
وقب , والوقبة
بوح , بباح
شحح , والشحشحة
كدد , لأكدنك
جثث , واجتث
شحح , وشحشاح
أود , فانآد
قود , قيد
أسد , آسد
سود , والسودد
حثث , حثحثة
حدد , وحديدة
حوذ , الحوذ
حجج , بالحجة
هجج , يهاج
صدد , صاد
كبب , كبا
ذود , ليذادن
لبب , اللبوب
سعد , وسعودا
ميد , ميدا
عجج , العجة
شحح , وشحيح
شدد , شديد
ورد , وردا
وكد , وكده
هيد , كهيده
هيد , والتهييد
وصب , وصبا
شدد , شدد
فيد , وفادت
أبر , تؤبر
بدد , بددا
بثث , إبثاثا
ورث , ويرث
بوح , والإباحة
ولج , اوتلج
لذذ , ولذذته
زجج , مزج
غدد , غدة
ثجج , وانثج
بوج , وتبوج
بعج , مبعوج
خدد , وخدده
أود , والانئياد
عوذ , عوذ
حوج , الحاجة
وحد , وحدان
ينشت , يأبثه
قذذ , وقذذت
كنب , كنوبا
قود , قياده
ميث , وميثاء
وقد , وقد
ينشت , والأثائث
شيخ , مشيخة
بدد , وأباديد
ميح , تمايح
قيد , والقيد
وجب , واجب
لوب , واللوب
جذذ , جذاء
شحح , شحشاح
صوح , صواحا
ييعث , مجاج
قدد , واقتده
قبب , قبك
ينشت , ويأث
لجج , ولجة
بدد , تباديد
دحح , والدحدحة
نيب , النيب
غوث , أغثني
ميح , مائح
طوح , طاح
ولد , الوليد
شيخ , والشيخون
أجر , وآجرها
لدد , وألده
حدد , حدائد
حيد , وأحياد
ندد , كالنديد
يدح , الأيدح
رود , راوده
طوح , وتطاوح
فأد , فؤاد
بحح , وبحوحة
زجج , وأزجاج
بجج , الأبج
ييعث , إجاج
فيد , مفيد
بوج , انبياجا
شجج , وشجيج
لوذ , والملاوذة
كبب , كببت
أبد , إبد
صوح , والصوحان
أجر , كالإجارة
غيب , كالغياب
حوج , الحاج
صلج , الصولجان
لدد , واللدود
حدج , وحدجه
دخخ , وتدخدخ
عجج , عجعج
لجج , ولججة
صيد , صيدان
وقد , كالوقد
فأد , الفئيد
وتد , توتيدا
قبب , بقبة
قوب , مقوبة
بجج , مبتجة
غبب , مغب
حوج , حاجات
سدد , استد
لدد , اللدود
جدد , وجدد
أبر , المأبورة
حثث , وحثوث
بجج , وبجبج
وعد , والعدة
قدد , والتقديد
فأد , والمفآد
كبب , فانكب
أود , وأودته
جوح , واجتاح
مجج , فمجه
ورد , الورود
وصد , كالموصد
وطد , والميطدة
وجب , والواجب
أثر , والأثر
ميد , وميادة
مجج , ماجون
سحح , والتسحح
وشح , توشح
زيد , فزاد
طوح , وطيحا
كود , تكاد
غوث , الإغاثة
وطد , بالميطدة
هجج , أياهجا
ميد , كالميدة
حيد , الحيد
أدد , والإد
لدد , لد
عوذ , العوذ
جود , وجيادات
صدد , إصدادا
هيج , وهيوجا
جذذ , تجذ
كيد , كيده
عود , والعود
فأد , ومفأدي
هجج , والهجاجة
لبب , إلباب
أجر , وآجرتها
لوح , اللوح
ذود , وذواد
كود , ومكادا
هجج , الهجهجة
بحح , البحة
قوب , وقوبها
حجج , حواج
رجج , رجراج
قوب , تقويبا
أجر , ومؤاجرة
وفد , وأوفاد
عجج , وعجت
لذذ , لذا
ورث , أويرث
ييعث , أزوجا
شيخ , شيخة
صيد , وصيدان
قدد , وقديد
بحح , تبحح
حجج , حجه
ميث , امياثا
دحح , ودح
خدد , أخدودا
قود , أقوعد
غدد , ومسمغدا
جذذ , جذها
وطد , والطادى
صوح , ينصاح
نيب , أنيابها
ولج , موالج
خدد , الخدة
غبب , وأغبت
بدج , أبدوج
عوذ , العوذة
جود , واستجاده
فيد , فائدة
لوث , يلوث
بجج , البجج
بثث , وبثثه
عوج , عوجت
حثث , حثاثا
خدد , والأخاديد
أبر , بتأبير
ينشت , أثت
صوح , الصوحين
وكد , وكودا
فوح , وفؤوحا
ولج , الوليجة
وعد , العدة
قذذ , قذان
لذذ , لذه
مدد , تمدن
لبب , لباب
ورد , وأفراد
وجب , وواجبه
وعد , وعدوا
هدد , الهد
بوح , الباحة
جود , وأجود
غبب , غبت
بجج , بججته
لوب , والملاب
وصب , توصب
زجج , وأزججته
صوح , كصوحي
لذذ , التذاذا
غدد , الغدة
عوذ , والعائذ
زجج , يزجه
صدد , وتصدية
وتد , الوتد
وحد , الآحاد
دجج , دجوجية
وفد , ووفاد
لوب , لابتي
صيد , صاد
ثجج , الثجاجا
أجر , وإجارا
بجج , يبجها
شيخ , وشيوخ
كدد , أكداد
غيب , والغيوب
هجج , ومهجهجة
حيد , ومحيدا
رود , راد
فيد , بفيد
فأد , يفأده
قدد , قدا
حثث , تحثه
جثث , والاجتثاث
عوذ , يعوذ
جدد , أجداد
ييعث , والأجة
كدد , الكدة
نهند , والوأد
وجب , التوجيب
رجج , كالارتجاج
شحح , مشاحة
زجج , وأزجة
بدد , البدادان
وهب , وموهبته
مجج , المج
هجج , هجاج
لجج , واللجلج
رود , الرود
مدد , وأمده
وثب , فوثبه
حدد , وحدد
بوج , يبوج
هجج , هجت
غبب , غبب
عوج , أعوج
فجج , تفاج
ذود , كالذواد
كيد , فيكيدوا
لوب , اللوب
حثث , حثيثة
قذذ , وقذان
دحح , ندحاحا
فيد , فيدة
وثب , وثبه
وكد , الوكائد
قبب , وقببها
ثجج , ثجوج
بحح , البحح
وقب , الوقب
قدد , المقدي
سحح , كالسحوح
حثث , احتثاثا
شدد , فاشتد
نهند , وأدة
شجج , والأشج
قود , والتقواد
حوج , الحوائج
حدد , بالحدة
وضح , استوضح
مدد , وتمدده
حوج , وحوج
رجج , رجاء
كبب , وكبه
بوج , والبائج
عجج , عاج
زيد , والزيدان
فجج , وأفج
فجج , وأفجه
نوح , مناحة
أبد , أبودا
مجج , مجاجا
بوج , البوج
وضح , وضح
وتد , وأوتده
أدد , والأد
لوح , ولؤوحا
حدد , واحتد
وجب , الوجوب
جوح , جوحت
شدد , الاشتداد
بوج , بواج
أسد , واستوسد
وجد , يوجد
ولد , الأولاد
نهند , التوآد
وجب , ووجبه
حجج , الحجاج
ميح , ممايحة
لدد , اللديد
لبب , لبة
كبب , يكبه
قدد , والمقد
لدد , ولديدا
توج , ثؤاج
كود , ومكادة
وصد , ووصده
بوح , بوحا
أبد , الأبيد
وطد , يوطد
قوب , القابة
غوث , فغوث
ميث , امتياثا
بوج , باج
بوح , بؤوح
شدد , وشددنا
هود , هوادة
صيد , ويصاده
وطد , فوطده
شيخ , شيخوخة
هيج , تهايجوا
عدد , التعدد
ثجج , وثجه
جثث , وجثجث
حدد , الحديدة
عود , عودة
قود , والقود
طوح , تطويح
سدد , وسدادا
شيح , شائحة
فيد , فادت
أخر , تأخيرا
لبب , لبيك
هدد , هده
عدد , والعدد
حثث , فاحتث
قذذ , قذ
كدد , بكدك
هود , الهود
قذذ , القذة
رجج , يرتج
سقد , تسقيدا
حوذ , أحوذه
وضح , وضحة
لدد , اللديدان
يزدذ , أجره
قبب , اقتبها
صيد , يصيده
وقب , وقبه
بجج , البجباجة
صدد , ويصد
يوج , الأنوحا
وحد , أحدان
ورث , الوراثة
بوح , وبوح
دجج , ودجاجي
شحح , شححت
عدد , والعداد
وهب , يهبون
بحح , ابتحاح
قيد , كالقاد
حثث , إحثاثا
رجج , والرجاج
وذح , الوذح
يزدذ , مأجور
عوذ , وأعوذت
كيد , كيد
وشح , وواشح
سدد , واستد
فدد , وفدفدة
يدح , الأرخ
بوح , وأبحتك
نهند , اتئادا
كركد , الكركيدة
طوح , وأطاح
غيب , تغيب
ينشت , أثيث
لجج , اللجاج
غوث , استغاث
روح , أروح
كدد , والكددة
أبر , وأبرت
حثث , حثيث
يوج , الآزحه
شدد , اشتد
ورث , وأورثه
بجج , والبجباجة
صحح , الصحصاح
نوح , ونياحا
جدد , جدا
زيد , وزاده
قود , وقواد
سنجرد , سنجورد
زيد , وازداد
بدد , فتبدد
أدد , آد
لوب , اللابتان
ودج , أوداج
جذذ , جذة
قدد , القد
خدد , أخدة
صدد , صواد
أبد , أبود
غوث , استغثت
وهب , وهب
فود , كالفيد
ثجج , فثج
مجج , يمج
ميث , امتاث
شيخ , وشيخوخية
سدد , أسدي
لدد , إلدادا
بجج , والبجج
بوح , والباحة
وعد , عدى
بوح , وبؤوحة
بدد , وبده
بثث , البث
لوح , ألواح
هيج , وهيجه
حيد , بحيدى
شحح , شحاح
صدد , صداد
وصب , الموصب
صوح , الصواحي
حوج , والحائجة
قبب , وقببت
ثجج , فانثج
لذذ , ولذاذ
رجج , رجت
ورث , توريثا
وطد , وطيد
هيج , الهائج
جدد , جديد
قوب , فانقابت
سدد , سدد
قبب , اقتبابا
عوج , فاعوجت
لبب , لبيه
طوح , الطيح
حثث , وحثثه
حثث , حثثوا
سدد , أسد
جدد , الجداد
سود , سيد
قود , مقيد
بوج , وباجة
هيب , هب
فوح , والأفيح
غوث , الغوث
ميح , التميح
لبب , لبا
وطد , كالواطد
ذود , ذود
عجج , كأعج
قبب , يقبون
ميح , كميح
سدد , للسداد
كود , وكادوا
سيح , وسيحانا
لوح , واللواح
أسد , أسود
ميث , مثته
دحح , الدح
حوج , احتاج
يوج , والأحاح
قوب , قوب
جوح , واجتاحتهم
طلث , طلوثا
سحح , السحسح
بدد , البدد
وطد , والواطد
عوج , والأعوج
أبر , آبر
سيح , وسيحون
جود , الجيد
مجج , فمجها
لوح , كلوح
وصب , وصوبا
نوح , نوح
خدد , المخدة
فجج , الفجاجة
جوح , المجتاحة
جدد , مجدود
أخر , وتأخر
بوج , بوائج
لجج , يلجلج
حدد , والحديد
كبب , والكبكبة
ذود , وذاده
غبب , كالغبوب
أجر , آجرها
أبر , كأبره
وصب , أوصب
عجج , يعج
عوذ , والمعاذة
لذذ , لذ
يزدذ , آجرته
لبب , لبابة
بثث , مبثوثة
فأد , والفئيد
دحح , مندوحة
جوح , جائحة
ينشت , وأثاثا
دجج , ودججانا
عوج , التعويج
حجج , حجته
هبب , وأهب
لزورد , اللازورد
سود , السود
يكد , كالتأخاذ
قذذ , قذتان
ورث , وإرثا
وطد , واطد
شدد , يشد
لوح , ملاويح
رجج , والترجرج
فجج , كالفجاج
رعد , ترعددت
هيج , وهاج
وتد , تد
ينشت , أبث
غوث , والغويث
طوح , الإطاحة
زوج , مزواج
يكد , ليأخذوه
حوذ , الأحوذي
ييعث , ومجج
كبب , والكبة
بجج , والبج
حجج , وحج
حيد , حيدى
ينشت , والأبث
دجج , دجوجاة
فيد , الفائدة
نيب , كالنيوب
قبب , قابة
شيح , الشيحة
قوب , قائبة
لدد , ولدودا
جذذ , والجذاذ
غبب , غببت
قيد , القيد
وفد , وفادة
ميث , وميثته
أبد , الأبد
ييعث , وأج
شيح , كالشائح
عوذ , والمعاذ
عجج , وعجاج
طفح , وطفوحا
قدد , والمقدة
وطد , الوطائد
لذذ , وتلذذ
شدد , اشدد
كبب , كانكب
هود , هودا
بجج , أبجه
بثث , وبثبثه
جوح , جوح
بجج , بججا
أخر , كتأخر
ميث , مائث
ميث , وتميث
هيج , كاهتاج
جدد , جده
لوب , لوبا
سدد , كسددها
فدد , وفديدا
لدد , المتلدد
هدد , هددنك
قذذ , قذا
لوث , لوثة
دجج , دجداج
حيد , والحيدان
رود , أردته
شجج , شجت
كود , وكودا
يكد , وخذوهم
وفد , والوافدان
حجج , أحج
عجج , معج
عجج , عجاجة
أسد , مستأسد
قوب , انقابت
صعد , صعودا
فجج , فجا
زوج , فتزوج
شيح , مشيح
فيد , فاد
حثث , وأحثه
ذود , ذياد
قود , تقاد
غبب , أغبوا
كود , وأكاد
ودح , أودح
قيد , وقيد
ميح , كالامتياح
رجج , وأرجان
وقب , وقب
وثب , الوثب
ييعث , وتأجج
صدد , يصدون
ييعث , يئج
بغدد , وبغداد
كدد , وكدد
حوج , احتجت
يكد , الإخاذة
زيد , زيدان
كود , يكد
وجب , وأوجبت
زجج , مزجوج
جثث , الجثيث
عدد , المعدود
وطد , وطدتك
حيد , وحيودا
وفد , كالتوفد
عوذ , واستعذت
يزدذ , استأجرته
وجب , وجبة
عدد , نعتده
عود , عوادها
حوج , واحتاج
فوح , فاح
قوب , قبت
مدد , ومدادا
وكد , يكد
شجج , والشجة
هجج , هجاجيه
فيد , فيدا
أود , أوداء
وطد , الوطد
لوذ , لاذ
وثب , ووثيبا
مدد , ويمدهم
فأد , مفائيد
يزدذ , أجرته
كيد , الكيد
بحح , ويبح
دجج , وتدجدج
وجد , الوجدان
ميث , وميثه
ميث , المستميث
ييعث , أجيج
ضلج , الضولج
نيب , نيبا
وجب , يجب
لدد , يتلددون
قبب , وقبيبات
هبب , هبنا
ميد , وميداء
توج , تيجان
سيح , سيحان
لبب , ليلب
نوب , ونيابتك
شجج , تشاج
صحح , والصحة
نوح , وأنواح
قود , اقتادوا
يزدذ , وآجره
قبب , قبا
حدد , حدد
غوث , ومغوثة
لجج , ولجلج
شحح , والشح
فقد , مفقود
أسد , وأسود
نهند , الوئيد
فجج , فاججت
يكد , الإخذ
وقب , وقوبا
زوج , أزواج
ثجج , لثجها
هيج , والهياج
صوح , الصاحة
لوث , ولوث
هجج , هجا
أصد , والأصيد
ودد , الود
سحح , كالسح
سحح , سحا
جدد , والجداد
غوث , تغويثا
زيد , زيادة
لبب , إلبابا
لدد , لدا
وصد , كوصده
مدد , مدت
وطد , وموطود
هدد , هدا
سيح , سياحة
قدد , كالاقتداد
قوب , والقابة
أسد , وأسده
حثث , محثوثة
لجج , لجاج
بحح , أبح
سحح , السحاحا
فأد , مفؤود
دحح , دحة
ميح , امتحن
لدد , كاللديد
يوج , أحا
وعد , وعدى
أجر , ويأجر
حثث , يتحاثون
شدد , يشتد
هود , يهوديا
ميد , ميداء
هجج , وهجهج
وثب , مواثبة
يدح , وإراخ
جذذ , والجذاذات
عود , وعاد
بغدد , بغداد
هيب , هابه
خدد , أخاديد
حدد , وحدي
أدد , إدا
صحح , صحيحة
هجج , مهجهج
جوح , اجتاحت
طوح , فتطوح
قود , يقود
قيد , مقيدة
فيد , كتفيد
نوح , نوحا
دجج , الدجج
ميح , وتميح
لذذ , يلذ
دحح , يدحها
فدد , الفدادون
نوح , ونوح
أسد , كالأسد
مدد , مد
وصد , الوصيد
قذذ , قذذ
زوج , وزوجك
لوذ , لذت
وكد , إيكادا
يكد , أخذه
أصد , كالأصيدة
هود , باليهود
عوج , تعويجا
ندد , أندادا
خدد , وخد
لدد , لاد
لوذ , للوذ
كدد , الكددة
كبب , وكب
حدد , وحدود
نوب , منيبين
هبب , تهب
شحح , الشحشح
ينشت , يأبث
بدد , بدتها
كبب , وكبكبه
وثب , وثابا
وضح , الوضاحية
حثث , حثث
ولج , ولجت
لوح , الملواح
لوذ , بلوذ
دحح , مدحوحا
فأد , يفأد
يزدذ , يأتجر
جدد , والجدة
وهب , والاستيهاب
سدد , ليسد
أخر , استأخر
قود , واستقادت
جثث , تجث
عود , لتعودن
فيد , الفيد
غيب , غيب
بثث , واستبثه
بثث , منبث
وجد , وجده
بحح , تبحبح
لوب , لوبانا
وكد , وكدا
سود , سيدها
لجج , كلجوج
كدد , وكدوني
دحح , ومنتدح
سحح , والسحسح
ولد , الولد
جدد , الجد
يوج , يأشح
خدد , فخدا
غدد , بمغد
وهب , الموهب
سحح , وسحه
فود , مفيد
كيد , تكيد
ورد , اوراد
يزدذ , التأخر
ينشت , الأثاث
كود , وكيد
قبب , كالاقتباب
حدد , حديد
بثث , وبث
وهب , اتهبت
بوح , التبحبح
أبد , وأوابدي
وفد , وافداه
دحح , ندح
هجج , تهج
روح , أرواحهم
وشح , يتوشح
أثر , الآثار
قوب , وتقوبت
حوج , يتحوج
زيد , زاد
هيج , وهيجانا
وعد , عدات
غوث , ومغيثا
هيد , هيد
جوح , الجوح
عجج , عجاجته
دحح , والدحادح
ولد , يولد
أخر , وآخرة
رود , الرودان
وهب , وهبه
جثث , وأجثاث
نوب , تنوب
برج , أبراج
حيد , وحيدة
حجج , يحج
لوث , ليث
سدد , يسد
عدد , وعدان
روح , كالروح
ميث , لميثاء
أبد , آبدة
صدح , وصداحا
ثجج , وثجاج
ورث , ووراثة
وقد , ووقدها
هيب , الهيبة
شيح , مشايحة
بوج , متبوج
زجج , والزجاج
دحح , دحندح
كدد , كد
أبر , المأبور
نيب , الناب
يوج , أشحى
سحح , السح
حدد , حد
حدد , الحد
نيب , فنيب
فدد , فدفدا
يدح , وإخ
قود , والتقويد
وشح , التوشيح
هيب , يهاب
ورث , وورثته
حوج , واحتجت
مدد , مدود
صوح , وتصيح
أسد , أسد
وصب , أوصاب
زيد , التزيد
أثر , مؤثر
وفد , ووفودا
غدد , مغدا
سحح , سحه
أثر , الأثور
صحح , لصحاصح
وضح , الوضح
خدد , تخديد
عوذ , وعذت
بجج , يتباججن
شيح , بشيحان
غوث , فأغثته
صوح , التصوح
غوث , أغثنا
فدد , فدادة
سيح , مسيحة
أجر , وأجرني
نوب , كالنوبة
دجج , ودج
قبب , وقبقب
حثث , تحثيثا
هيب , ومهيب
يوج , أحاح
نوب , نوبي
هود , اليهود
نوح , نائحة
زوج , وزوجته
عجج , عجاج
هبب , كأهبنا
جثث , جثجاثة
شيخ , وأشياخ
ودد , مودده
قبب , مقبوب
كيد , كالمكيدة
نوب , النوبي
غيد , فأد
بوح , وبؤوحا
بجج , بجباجة
فجج , فججا
أدد , إدة
عدد , عددت
نورد , نورد
لدد , يلده
جود , جيائد
يزدذ , مؤتجرا
حجج , الحجيج
كود , يكود
ودد , والموددة
قود , والمقادة
وقد , تقد
خدد , والخدتان
ودد , ووددت
ذود , ذودا
هود , هاد
نهند , يتئد
جوح , مجاح
ندد , ند
كبب , مكب
غوث , مغوثة
دجج , دججت
علث , والمعلوث
غيب , مغيبا
فوح , يفيح
نوب , والنوبة
جوح , فتجتاحه
حيد , لحياد
يدح , والأرخي
ميث , اماث
ندد , وندادا
حوج , حجت
أثر , يؤثره
عجج , عجته
ييعث , ييعث
قود , فاقتادت
نيب , وأنياب
وقب , تقب
لجج , اللجة
ييعث , وأججتها
عوذ , عوذات
بوج , والتبويج
نوح , الأنواح
وحد , للأحد
زجج , وزجاه
لوب , اللابتين
لدد , لددتهم
لوب , اللوبة
غوث , إغاثة
غوث , غويث
ندد , ندائد
فجج , وافتجه
جدد , جديدا
حجج , الحج
سيح , يسيحون
أدد , يؤده
توج , وثؤاجا
دحح , فدح
دحح , والدحيدحة
عود , المعاد
فدد , فدا
بدد , كالبديدة
أسد , استأسد
عدد , نعد
نهند , نهاوند
زجج , أزججته
وتد , ووتده
حوج , حوائجهم
لذذ , ألذه
عدد , والعديد
شجج , الشجج
أود , يؤوده
صيد , الصيدان
كود , وكواد
أود , تأوده
حثث , الحثحوث
لذذ , اللذة
بثث , بثبثة
فجج , وفج
هدد , ويهد
زوج , بالزوج
غبب , كالمغبة
لوث , لوث
عوج , معوج
حوذ , وأحوذ
ميح , امتاح
زوج , والزوج
جثث , واجتثثته
وكد , وإكاد
غوث , والتغويث
دجج , يدج
يدح , آراخ
شدد , شدت
وطد , طدني
حجج , حججت
أسد , وأسدان
وثب , ووثابا
حوذ , والحواذ
وكد , أوكدته
هدد , هدود
حوج , يحتاج
بجج , بجيج
وهب , وهبا
هيد , بيهيد
وقد , وأوقدها
وجب , الموجبة
ثفد , الثفافيد
أود , تأودا
ييعث , والأزوج
صوح , والصواح
يدح , أرخت
شيخ , وشيخة
حوذ , وحاذه
دجج , ديجوج
غيب , وتغيب
عجج , وعجة
هجج , هجهاج
حجج , كالحجحجة
غيب , الغيب
لوب , لوابا
فوح , وفوحانا
غدد , والغددة
يزدذ , وتأخر
حيد , الحيدار
قذذ , مقذوذتان
وقب , كالوقبة
عيج , عيوجا
أسد , ومأسدة
كيد , كادت
عدد , وعد
هجج , هجهاجة
ييعث , أزوج
نوح , ونواحا
قود , وقيد
نيب , أنيابا
نهند , وتودة
عجج , والتعجيج
وفد , يفد
نهند , وتؤدة
مجج , مجاجة
دحح , دحيدحة
لوث , لوثين
ميث , تميثه
زجج , والزج
جود , وأجاده
وصد , والوصيدة
شيح , كالشيحان
طوح , وطاوحه
هود , هائد
كبب , تكابوا
ورث , ونرثه
سيح , والسيحان
وصب , وصبت
ودد , والوداد
وصب , واصبا
لوب , واللوبياج
فوح , الفوح
صحح , وصحائح
رجج , كرجرجة
غوث , واستغاث
حوذ , أحواذ
وثب , وأوثبته
فأد , والمفأدة
وذح , والوذح
حقد , وحقيدة
دجج , ودجداجة
جثث , بجثه
وجب , وأوجب
وهب , وهبة
ولج , ولجة
صيد , الصيداء
شدد , وشدد
وقب , وغوبة
بوج , بائج
أصد , الأصيدة
أدد , أدت
حود , كيحيد
هود , هود
عجج , وعجيجا
ييعث , الأجيج
عوذ , كالعوذان
وهب , ووهيب
لوب , لابات
سدد , فانسدت
بوج , البائج
شجج , شج
وقد , والوقدان
لوث , لاث
شجج , الشج
عوج , فتعوج
جوح , كالإجاحة
شيح , والمشيوحاء
نيب , ونيب
ثجج , الثجة
غبب , وغبوب
وقد , واتقدت
شجج , مشجوج
حثث , حاثة
لجج , كاللجة
أدد , الإد
ولد , ولدك
روح , الروح
روح , روحتي
فوح , فيح
لوح , ولاحه
أود , الأودي
فيد , فيد
رجج , رجاج
نهند , تئد
صدد , وصداء
هيج , الهيجاء
ثجج , الثج
جدد , وجديدة
ندد , وندودا
ميح , ممتاح
رجج , رجارجا
جوح , والأجوح
صحح , وصحصحان
شيح , الشيحيون
جذذ , جذ
يزدذ , ومؤاجرة
جثث , جثته
لوذ , يلوذ
بوج , وبوج
ضحح , وضحضح
غوث , الغويث
هبب , ويهب
قود , القائد
رجج , رجا
بوج , بوجا
توج , والتاجية
هبب , كالهبيب
رجج , الرجرج
ميح , وامتاحت
زيد , وتزايدوا
فجج , فجاجا
مدد , ومددت
هود , وهوده
حوج , وأحوج
ميح , بالمائح
هيب , ومهابة
رود , وراودته
شدد , شد
لذذ , لذذت
سدد , سدا
جدد , وأجد
حيد , وحاد
لدد , كالألندد
توج , وتوج
ثجج , وثجثجه
نيب , بالناب
دجج , دجوج
عدد , الأعداد
رمد , الرمدداء
توج , ثأجت
وهب , ووهابة
ذود , وذياد
سحح , وسحت
سود , أسود
وصد , كالوصيدة
وصد , والأصيد
سدد , سدادها
